Name,DeplState,InciState,ToolsType,SerialNumber,Object,Notes
Удлинитель,In Use,Operational,Удлинитель,,,
Удлинитель,In Use,Operational,Удлинитель,,,
Удлинитель,In Use,Operational,Удлинитель,,,
Удлинитель,In Use,Operational,Удлинитель,,,
Кабелерез,In Use,Operational,Кабелерез,,,
Удлинитель,In Use,Operational,Удлинитель,,,"3*1,5 25 м"
Удлинитель,In Use,Operational,Удлинитель,,,"3*1,5 25 м"
Сварочный аппарат,In Use,Operational,Сварочный аппарат,,,
Сварочный аппарат,In Use,Operational,Сварочный аппарат,,,
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,28.07.23 Сумка для инструментов STST1-73615 Stanley											 Набор инструментов 23110 Proxxon											 Набор отверток 0-65-009 Stanley											 Набор ключей 23800 Proxxon											 Рулетка 0-30-457 Stanley											 Молоток YT-4563 YATO																					 Ключ разводной YT-21651 YATO											 Нож 0-10-088 Stanley											 Плоскогубцы STHT0-74456 Stanley																						 Бокорезы YT-20433 YATO
Кабелерез,In Use,Operational,Кабелерез,,,
Стремянка / Рамные леса,In Use,Operational,Стремянка / Рамные леса,,UIB,
Стремянка / Рамные леса,In Use,Operational,Стремянка / Рамные леса,,,
Маркиратор (PGM2102212003408),In Use,Operational,Маркиратор,PGM2102212003408,,
Стремянка / Рамные леса,In Use,Operational,Стремянка / Рамные леса,,,
Болгарка (000002),In Use,Operational,Болгарка,000002,,
Пылесос промышленный,In Use,Operational,Пылесос промышленный,,,KFI 357 6.959-130.0  - мешки
Пылесос промышленный,In Use,Operational,Пылесос промышленный,,,
Перфоратор (000076),In Use,Operational,Перфоратор,000076,,Требуется смазка
Пчелка (420490),In Use,Operational,Пчелка,420490,,
Кабелерез,In Use,Operational,Кабелерез,,,
Манифолд,In Use,Operational,Манифолд,,,
Гидравлический / ручной пресс,In Use,Operational,Гидравлический / ручной пресс,,,
Манифолд,In Use,Operational,Манифолд,,,
Гидравлический / ручной пресс,In Use,Operational,Гидравлический / ручной пресс,,,
Болгарка,In Use,Operational,Болгарка,,,
Перфоратор (0 611 272 100),In Use,Operational,Перфоратор,0 611 272 100,,
Гидравлический / ручной пресс (2206),In Use,Operational,Гидравлический / ручной пресс,2206,,
Перфоратор (020808190),In Use,Operational,Перфоратор,020808190,,
Гидравлический / ручной пресс,In Use,Operational,Гидравлический / ручной пресс,,,
Пила,In Use,Operational,Пила,,,
Присоски,In Use,Operational,Присоски,,,
Присоски,In Use,Operational,Присоски,,,
Присоски,In Use,Operational,Присоски,,,
Пчелка (170341G),In Use,Operational,Пчелка,170341G,,
Сварочный аппарат (8070152),In Use,Operational,Сварочный аппарат,8070152,,
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,28.02.24 Бокорезы Круглогубцы
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,28.02.24 Сумка для инструментов Молоток
Сумка с инструментом,In Use,Operational,Сумка с инструментом,,,28.02.24 Сумка с инструментом 22.04.24 Бокорезы
