;Анализатор качества электроэнергии (14280003);Production;Ok;Анализатор качества электроэнергии;;14280003;sz;;Production;
;Анализатор батарей (16105498);Production;Ok;Анализатор батарей;;16105498;sz;;Production;
;Анализатор батарей (08517);Production;Ok;Анализатор батарей;;08517;sz;;Production;
;Анализатор батарей (08884);Production;Ok;Анализатор батарей;;08884;sz;;Production;
;Анализатор батарей (05988);Production;Ok;Анализатор батарей;;05988;sz;;Production;Кулон вышел из строя в результате появления повышенного напряжение на его входе. Состояние печатной платы - вышла из строя (неустранимая утечка) Состояние микросхем, включая контроллер и АЦП - вышли из строя. Заключение: индикатор емкости свинцовых аккумуляторов Кулон 12ns восстановлению не подлежит. 01.06.2022
;Фазауказатель (1120401010);Production;Ok;Фазауказатель;;1120401010;sz;;Production;
