Name;DeplState;InciState;ToolsType;SerialNumber;Vladelec;Object;Notes
Анализатор качества электроэнергии (14280003);Retired;Ok;Анализатор качества электроэнергии;14280003;;;
Анализатор батарей (16105498);Inactive;Ok;Анализатор батарей;16105498;;;
Анализатор батарей (08517);Retired;Ok;Анализатор батарей;08517;1979;;
Анализатор батарей (08884);Retired;Ok;Анализатор батарей;08884;3458;;
Анализатор батарей (05988);Retired;Ok;Анализатор батарей;05988;;;Кулон вышел из строя в результате появления повышенного напряжение на его входе. Состояние печатной платы - вышла из строя (неустранимая утечка) Состояние микросхем, включая контроллер и АЦП - вышли из строя. Заключение: индикатор емкости свинцовых аккумуляторов Кулон 12ns восстановлению не подлежит. 01.06.2022
Фазауказатель (1120401010);Replace;Ok;Фазауказатель;1120401010;;;
