Name;DeplState;InciState;ToolsType;SerialNumber;Vladelec;Vendor;Object;Notes
Зеркало (n/a);Maintenance;Ok;Зеркало;n/a;1700;;;
Зеркало;Maintenance;Ok;Зеркало;;1692;;;
Зеркало;Maintenance;Ok;Зеркало;;1689;;;
Зеркало;Maintenance;Ok;Зеркало;;2184;;;
Зеркало;Maintenance;Ok;Зеркало;;1944;;;
Коврик огнеупорный (â00001);Production;Ok;Коврик огнеупорный;â00001;;;;
Коврик огнеупорный (000002);СКЛАД;Ok;Коврик огнеупорный;000002;;;;
Тележка;СКЛАД;Ok;Тележка;;;;;
Болгарка (011019);Production;Ok;Болгарка;011019;;;;
Фонарик (n/a);Maintenance;Ok;Фонарик;n/a;1984;3614;;
Фонарик (n/a);Maintenance;Ok;Фонарик;n/a;1981;3614;;
Фонарик (n/a);Maintenance;Ok;Фонарик;n/a;1976;3614;;
Фонарик (n/a);Maintenance;Ok;Фонарик;n/a;1980;3614;;
Фонарик (n/a);СКЛАД;Ok;Фонарик;n/a;;3614;;
Фонарик (n/a);СКЛАД;Ok;Фонарик;n/a;;3614;;
Пылесос промышленный;СКЛАД;Ok;Пылесос промышленный;;;3095;UIB;Сломана вилка
Болгарка (000001);СКЛАД;Ok;Болгарка;000001;;3595;;
Болгарка;Retired;Ok;Болгарка;;;3595;;
Болгарка (000002);СКЛАД;Ok;Болгарка;000002;;1856;;
Болгарка (1B-004/212/0183);СКЛАД;Ok;Болгарка;1B-004/212/0183;;;;
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;3458;;;21.11.2022 Сумка для инструментов Набор инструментов (трещотка, головка, биты) Набор ключей Набор отверток Паяльник Клещи 165мм, 250мм Ключ разводной  Набор шестигранников Рулетка Нож Плоскогубцы Бокорезы Длинногубцы Удлинитель 40м
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1984;;;26.01.22 Сумка для инструментов 02.05.2023 Набор головок (на складе с 28.02.24) Уровень (со склада)  28.02.24 Набор инструментов 57 предметов
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;3677;;;13.03.23 Сумка для инструмента Набор Инструментов (ключи рожковые, трещетка, головки, биты) 82 предмета Паяльник Круглогубцы Набор инструментов (длинногубцы,отвертка-тестер,пассатижи,молоток,отвертки,кусачки,ключ разводной, нож, рулетка) 22 предмета Перчатки Рулетка Нож Уровень  28.11.23 TKL20-006-016 IEK Клещи обжимные
Фонарик;Maintenance;Ok;Фонарик;;3677;;;
Шуруповерт;Maintenance;Ok;Шуруповерт;;3677;;;
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1700;;;10.04.23 Рюкзак для инструментов
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1689;;;10.04.23 Рюкзак для инструментов
Вакуумный насос (250512);СКЛАД;Ok;Вакуумный насос;250512;;3839;;
Вакуумный насос (2204);СКЛАД;Ok;Вакуумный насос;2204;;3839;УКТМК;
Вакуумный насос (???);СКЛАД;Ok;Вакуумный насос;???;;3839;;
Вакуумный насос;СКЛАД;Ok;Вакуумный насос;;;;;
Станция эвакуации фреона;СКЛАД;Ok;Станция эвакуации фреона;;;3839;;
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;3095;;
Мини-мойка / пароочиститель;СКЛАД;Ok;Мини-мойка / пароочиститель;;;3095;;
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;3095;;
Мини-мойка / пароочиститель;СКЛАД;Ok;Мини-мойка / пароочиститель;;;3095;;
Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;;3095;;
Стремянка / Рамные леса;СКЛАД;Ok;Стремянка / Рамные леса;;;;;
Стремянка / Рамные леса;Production;Ok;Стремянка / Рамные леса;;;;;
Сумка с инструментом;СКЛАД;Ok;Сумка с инструментом;;;;УКТМК;
Ветродуй (203107);СКЛАД;Ok;Ветродуй;203107;;2516;;
Перфоратор (000001);Production;Ok;Перфоратор;000001;;3595;;
Болгарка (20101500127);СКЛАД;Ok;Болгарка;20101500127;;3610;;
Электрорубанок;СКЛАД;Ok;Электрорубанок;;;;;
Зарядное устройство (575825/08-2);СКЛАД;Ok;Зарядное устройство;575825/08-2;;3605;;
Пчелка (00261794);СКЛАД;Ok;Пчелка;00261794;;2516;;
Рация;СКЛАД;Ok;Рация;;;;UIB;
Рация;СКЛАД;Ok;Рация;;;;UIB;
Рация;СКЛАД;Ok;Рация;;;;UIB;
Рация;СКЛАД;Ok;Рация;;;;UIB;
Гидравлический / ручной пресс;СКЛАД;Ok;Гидравлический / ручной пресс;;;;;
Гидравлический / ручной пресс;СКЛАД;Ok;Гидравлический / ручной пресс;;;;;
Гидравлический / ручной пресс;СКЛАД;Ok;Гидравлический / ручной пресс;;;;METSO;
Трубогиб;Production;Ok;Трубогиб;;;1882;;
Развальцовка / Труборасширитель;Production;Ok;Развальцовка / Труборасширитель;;;1882;УКТМК;
Развальцовка / Труборасширитель;Production;Ok;Развальцовка / Труборасширитель;;;3839;;
Мини-мойка / пароочиститель;СКЛАД;Ok;Мини-мойка / пароочиститель;;;;;
Мини-мойка / пароочиститель;СКЛАД;Ok;Мини-мойка / пароочиститель;;;;;
Пчелка (000408);СКЛАД;Ok;Пчелка;000408;;2516;;
Мини-мойка / пароочиститель;Maintenance;Ok;Мини-мойка / пароочиститель;;3677;1856;;
Мини-мойка / пароочиститель;СКЛАД;Ok;Мини-мойка / пароочиститель;;;1856;;
Паяльник;СКЛАД;Ok;Паяльник;;;;;
Мини-мойка / пароочиститель;СКЛАД;Ok;Мини-мойка / пароочиститель;;;;;
Трубогиб;СКЛАД;Ok;Трубогиб;;;1882;УКТМК;
Сварочный аппарат;СКЛАД;Ok;Сварочный аппарат;;;;;
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1981;;;02.05.23 Сумка с инструментом  Рулетка 8 м  Бокорезы (на складе с 28.02.24) Круглогбуцы (на складе с 28.02.24)
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1974;;;02.05.23 Круглогубцы
Сварочный аппарат;СКЛАД;Ok;Сварочный аппарат;;;;;склад г Астана
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;2906;;;02.05.2023 Сумка для инструмента (сдал на склад 28.02.24) Набор головок Набор отверток Набор рожковых ключей Рулетка 8 м Молоток (со склада) Уровень (со склада) Разводной ключ Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников 28.02.24 Сумка для инструмента
Сумка с инструментом;Maintenance;Ok;Сумка с инструментом;;1973;;;02.05.2023 -Сумка для инструмента Набор головок -Набор отверток Набор рожковых ключей Рулетка 8 м -Молоток  Уровень (со склада) Разводной ключ -Нож Плоскогубцы -Бокорезы -Круглогубцы -Набор шестигранников   31.01.24 Сдал: Сумка для инструмента, Набор отверток, Молоток, Нож, Бокорезы, Круглогубцы, Набор шестигранников
