Анализатор качества электроэнергии (14280003);In Use;Operational;Анализатор качества электроэнергии;14280003;;;
Анализатор батарей (16105498);In Use;Operational;Анализатор батарей;16105498;;;
Анализатор батарей (08517);In Use;Operational;Анализатор батарей;08517;;;
Анализатор батарей (08884);In Use;Operational;Анализатор батарей;08884;;;
Анализатор батарей (05988);In Use;Operational;Анализатор батарей;05988;;Кулон вышел из строя в результате появления повышенного напряжение на его входе. Состояние печатной платы - вышла из строя (неустранимая утечка) Состояние микросхем, включая контроллер и АЦП - вышли из строя. Заключение: индикатор емкости свинцовых аккумуляторов Кулон 12ns восстановлению не подлежит. 01.06.2022;
Фазауказатель (1120401010);In Use;Operational;Фазауказатель;1120401010;;;
